id,data_reclamacao,estado,regiao,categoria,status,texto
15,2024-11-10,SP,Sudeste,Imobiliário,Sem resposta da empresa,Tenho problemas recorrentes com a Cyrela há meses. Já nunca confio mais.
16,2024-01-30,SP,Sudeste,Comércio Eletrônico,Não resolvida,Comprei um produto na Submarino no dia 08.06.2024 e até agora nunca recebi. O prazo era de 10 dias e já se passaram 25.
17,2023-04-17,RJ,Sudeste,Transporte Aéreo,Resolvida,Voo da Gol cancelado sem aviso prévio em 31.01.2024. Perdi compromisso de trabalho importante e até até agora jamais obtive reembolso.
18,2023-04-05,MG,Sudeste,Telecomunicações,Não resolvida,A SKY aumentou a mensalidade do meu plano de R$ 98 mil para R$ 6223 sem aviso prévio Considero isso prática abusiva
19,2024-06-28,TO,Norte,Seguros,Em análise,Tenho problemas recorrentes com a Bradesco Seguros há meses. Inclusive já não confio mais.
20,2023-04-28,TO,Norte,Energia Elétrica,Não resolvida,"ta sem luz aqui no bairro a 2 dias, perdi tudo que tinha na geladeira e a Light nao da satisfação"
21,2024-04-24,CE,Nordeste,Bancos e Cartões,Não resolvida,fraude!
22,2023-03-03,PA,Norte,Transporte Aéreo,Resolvida,Voo da Azul cancelado sem aviso prévio em 30.06.2024. Perdi compromisso de trabalho importante e até até hoje não obtive reembolso.  Aguardo retorno. Por favor entrem em contato no e-mail joaopedro123@hotmail.com.
23,2024-05-19,SP,Sudeste,Bancos e Cartões,Não resolvida,"O aplicativo do Nubank fica fora do ar há 60 dias, o que me impede de fazer pagamentos no prazo e gera multas e juros desnecessários.  Já naum tenho paciência."
24,2024-03-28,RN,Nordeste,Telecomunicações,Em análise,Contratei o plano de internet de 400 mega da Vivo no dia 27-07-2024 e até hoje a velocidade não passa de 50 mega Já fiz três protocolos e ninguém resolve Meu telefone para retorno: (11) 98765-4321.
25,2023-08-03,RO,Norte,Imobiliário,Em análise,"Atendimento da Direcional é péssimo, ninguém resolve nada."
26,2024-04-02,AL,Nordeste,Comércio Eletrônico,Resolvida,"comprei pra presentear, chegou ATRASADO E QUEBRADO, ja fiz protocolo umas 5 vezes na Mercado Livre 🤬😡😠"
27,2024-02-17,PR,Sul,Telecomunicações,Resolvida,uma decepção
28,2023-05-22,RS,Sul,Bancos e Cartões,Resolvida,Fui ao caixa eletrônico do Caixa no dia 11/01/23 e a máquina engoliu meu cartão sem fornecer recibo Já procurei a agência e ninguém deu solução
29,2024-09-30,PA,Norte,Telecomunicações,Não resolvida,ESTOU SEM INTERNET HÁ 45 DIAS E A Claro NÃO MANDA TÉCNICO!!!!!!!!!!!! ISSO É UM ABSURDO!!!!!!!!!!!! TENHO REUNIÕES IMPORTANTES E NINGUÉM RESOLVE!!!!!!!!!!!!
30,2023-12-27,SC,Sul,Bancos e Cartões,Não resolvida,"Solicitei a portabilidade do meu salário para o Nubank em 13/07/23 e até hoje, 20 dias depois, o processo não foi concluído."
31,2023-09-30,RJ,Sudeste,Bancos e Cartões,Não resolvida,"tava tentando fazer pix e o app ta fora do ar a horas, perdi o prazo de pagamento de boleto e agora vão me cobrar multa, isso é justo.  Aguardo retorno."
32,2024-05-16,RS,Sul,Telecomunicações,Não resolvida,"Boa noite, meu plano de telefonia da Claro parou de funcionar após uma atualização do sistema, e há 60 dias não consigo fazer ligações."
33,2023-10-31,MG,Sudeste,Seguros,Não resolvida,"Boa tarde, tenho problemas recorrentes com a Porto Seguro há meses. Inclusive já não confio mais."
34,2024-05-04,MA,Nordeste,Telecomunicações,Resolvida,"Olá, solicitei o cancelamento do plano em 14/09/2023 e continuei sendo cobrado. Já enviei e-mail, liguei na central e nada foi feito.  Espero solução urgente. 😭"
35,2023-01-04,AM,Norte,Comércio Eletrônico,Não resolvida,"comprei uma TV de 5.326,97 reais na Americanas e quando chegou tava toda quebrada, mandei a foto e ngm resolve"
36,2023-05-16,SP,Sudeste,Saúde — Planos,Sem resposta da empresa,"Boa noite, meu plano de saúde Hapvida negou autorização para um exame solicitado pelo médico em 07-05-2023. Sem justificativa adequada. 😤"
37,2024-06-21,BA,Nordeste,Comércio Eletrônico,Resolvida,vergonhoso
38,2024-10-28,SP,Sudeste,Telecomunicações,Resolvida,ok
39,2024-03-05,RS,Sul,Seguros,Resolvida,"Atendimento da SulAmérica é inaceitável, ninguém resolve nada. 😡👎😠 Por favor entrem em contato no e-mail carlos@uol.com.br."
40,2023-07-15,GO,Centro-Oeste,Bancos e Cartões,Não resolvida,péssimo
41,2023-10-18,MG,Sudeste,Comércio Eletrônico,Resolvida,"Cancelei o pedido por falta de prazo de entrega e até hoje, 40 dias depois, jamais recebi o estorno de R$ 75 mil.  Já não tenho paciência."
42,2023-12-16,SP,Sudeste,Telecomunicações,Não resolvida,"Boa tarde, contratei portabilidade da Tim para a Oi e fiquei 5 dias sem linha funcionando. Perdi negócios importantes nesse período."
43,2023-01-02,GO,Centro-Oeste,Imobiliário,Resolvida,Tenho problemas recorrentes com a Direcional há meses. Já nunca confio mais. Por favor entrem em contato no e-mail carlos@uol.com.br.
44,2024-05-24,DF,Centro-Oeste,Comércio Eletrônico,Em análise,Cancelei o pedido por falta de prazo de entrega e até hoje 40 dias depois não recebi o estorno de R$ 840096
45,2023-01-02,SP,Sudeste,Bancos e Cartões,Não resolvida,<p>Pedi cancelamento e nada foi feito.</p><br/><strong>Reembolso pendente</strong>
46,2023-05-31,AM,Norte,Telecomunicações,Resolvida,"A Oi aumentou a mensalidade do meu plano de R$ 730,52 para R$ 8.273,24 sem aviso prévio. Considero isso prática abusiva."
47,2024-03-09,ES,Sudeste,Telecomunicações,Resolvida,"Solicitei o estorno do valor R$ 98,85

Veja detalhes em https://www.consumidor.gov.br/protocolo/12345

Aguardo retorno."
48,2023-09-16,AL,Nordeste,Bancos e Cartões,Resolvida,"Boa noite, fui ao caixa eletrônico do Caixa no dia 12.01.2023 e a máquina engoliu meu cartão sem fornecer recibo. Já procurei a agência e ninguém deu solução."
49,2023-10-12,SP,Sudeste,Energia Elétrica,Resolvida,"Boa tarde, eSTOU SEM LUZ HÁ 3 DIAS!!! TEMOS IDOSOS EM CASA QUE PRECISAM DE EQUIPAMENTOS LIGADOS!!! É UMA QUESTÃO DE SAÚDE!!!"
50,2023-06-05,GO,Centro-Oeste,Telecomunicações,Resolvida,uma decepção
51,2023-01-23,MG,Sudeste,Saúde — Planos,Em análise,Estou tentando agendar uma consulta com cardiologista pelo Amil há 5 um tempão e não há vagas em nenhum dos prestadores credenciados.
52,2023-03-17,SC,Sul,Saúde — Planos,Em análise,"Em 11.09.2023, o Bradesco Saúde negou cobertura para uma consulta de urgência alegando carência. Considero abusivo."
53,2023-07-26,BA,Nordeste,Comércio Eletrônico,Não resolvida,"ja é a 4a vez que tento devolver um produto pra Kabum e eles ficam empurrando, isso é prática abusiva"
54,2023-10-22,SP,Sudeste,Saúde — Planos,Resolvida,"Sou cliente há 12 muito tempo e o reajuste do plano foi de 50% este ano, sem qualquer transparência no cálculo."
55,2023-03-28,MG,Sudeste,Comércio Eletrônico,Resolvida,"comprei pra presentear, chegou ATRASADO E QUEBRADO, ja fiz protocolo umas 5 vezes na Shopee.  Atenciosamente."
56,2023-03-24,MG,Sudeste,Comércio Eletrônico,Resolvida,FAZ 60 DIAS QUE NÃO RECEBO MEU PEDIDO!!! A Kabum É UMA VERGONHA!!! VOU ENTRAR NA JUSTIÇA.  Atenciosamente.
57,2023-12-30,MG,Sudeste,Educação,Resolvida,A Anhanguera não respondeu ao meu protocolo nº 4823498.
58,2023-02-08,RS,Sul,Saúde — Planos,Não resolvida,Já estou tentando agendar uma consulta com cardiologista pelo Bradesco Saúde há 5 meses e nunca há vagas em nenhum dos prestadores credenciados.  Quero cancelar tudo agora.
59,2023-10-04,ES,Sudeste,Bancos e Cartões,Em análise,"Solicitei a portabilidade do meu salário para o Bradesco em 12.09.2024 e até hoje, 20 dias depois, o processo nunca foi concluído.  Já não tenho paciência."
60,2023-04-15,SP,Sudeste,Telecomunicações,Resolvida,ESTOU SEM INTERNET HÁ 5 DIAS E A SKY NÃO MANDA TÉCNICO!!! ISSO É UM ABSURDO!!! TENHO REUNIÕES IMPORTANTES E NINGUÉM RESOLVE!!!
61,2023-06-22,SP,Sudeste,Telecomunicações,Em análise,"Boa noite, eSTOU SEM INTERNET HÁ 45 DIAS E A SKY NÃO MANDA TÉCNICO!!! ISSO É UM ABSURDO!!! TENHO REUNIÕES IMPORTANTES E NINGUÉM RESOLVE!!!"
62,2024-10-19,RJ,Sudeste,Bancos e Cartões,Resolvida,A taxa de juros do cheque especial saltou de 7% para 18% sem aviso prévio Me sinto enganada como cliente há mais de 8 anos
63,2023-04-27,AP,Norte,Comércio Eletrônico,Não resolvida,péssima loja
64,2024-02-05,MG,Sudeste,Telecomunicações,Em análise,Contratei o plano de internet de 300 mega da Tim no dia 21/08/2024 e até hoje a velocidade não passa de 15 mega. Eu já fiz três protocolos e ninguém resolve.  Aguardo retorno.
65,2024-02-10,SP,Sudeste,Energia Elétrica,Não resolvida,"Recebi conta de luz com valor de R$ 9.943,81 este mês — três vezes maior que a média histórica, mesmo sem mudança de hábitos. A CPFL jamais explica."
66,2023-08-18,RS,Sul,Bancos e Cartões,Sem resposta da empresa,"O aplicativo do Itaú fica fora do ar há 10 dias, o que me impede de fazer pagamentos no prazo e gera multas e juros desnecessários."
67,2023-06-21,SP,Sudeste,Telecomunicações,Sem resposta da empresa,"Solicitei o cancelamento do plano em 19/10/24 e continuei sendo cobrado. Já enviei e-mail, liguei na central e nada foi feito.  Vou registrar no Procon."
68,2024-05-11,CE,Nordeste,Bancos e Cartões,Não resolvida,"perdi meu cartao no domingo, liguei na hora pra bloquear, e mesmo assim fizeram compra de R$ 70 mil no shopping. quero meu dinheiro de volta urgente"
69,2023-10-28,BA,Nordeste,Energia Elétrica,Resolvida,A luz caiu na minha rua às 09h16 de 11/10/23 e voltou apenas no dia seguinte. Perdi todos os alimentos do freezer.
70,2024-01-13,SP,Sudeste,Telecomunicações,Em análise,"A Claro aumentou a mensalidade do meu plano de R$ 94 mil para R$ 352,78 sem aviso prévio. Considero isso prática abusiva."
71,2024-03-29,CE,Nordeste,Educação,Em análise,"Atendimento da Kroton é péssimo, ninguém resolve nada."
72,2023-10-05,SP,Sudeste,Telecomunicações,Sem resposta da empresa,Contratei o plano de internet de 500 mega da SKY no dia 12.03.2024 e até hoje a velocidade não passa de 20 mega. Já fiz três protocolos e ninguém resolve.
73,2023-10-09,SP,Sudeste,Bancos e Cartões,Resolvida,
74,2024-06-01,RN,Nordeste,Energia Elétrica,Em análise,"minha conta de luz veio R$ 64,91, mes passado tinha vindo 200, ngm explica oq aconteceu, ja liguei na CPFL e disseram que ta tudo certo, mas como pode??"
75,2023-05-01,ES,Sudeste,Transporte Aéreo,Em análise,
76,2023-03-15,SP,Sudeste,Comércio Eletrônico,Resolvida,Comprei um produto na Amazon no dia 13/04/24 e até agora não recebi. O prazo era de 10 dias e já se passaram 25.
77,2023-08-31,SP,Sudeste,Saúde — Planos,Não resolvida,"Solicitei o estorno do valor R$ 78 mil

Veja detalhes em https://www.consumidor.gov.br/protocolo/12345

Aguardo retorno."
78,2023-10-30,BA,Nordeste,Telecomunicações,Em análise,horrível
79,2024-03-05,MG,Sudeste,Seguros,Resolvida,Tenho problemas recorrentes com a SulAmérica há meses Já não confio mais
80,2024-11-16,RJ,Sudeste,Saneamento,Em análise,A Sanepar não respondeu ao meu protocolo nº 2138038.  Aguardo retorno.
81,2024-04-18,RN,Nordeste,Transporte Aéreo,Resolvida,"voo atrasou 8 horas, perdi conexao, a Azul nao deu nem agua direito, isso é desrespeito com o consumidor.  Vou processar a empresa."
82,2023-07-17,RJ,Sudeste,Bancos e Cartões,Em análise,Tomei um empréstimo no Bradesco e os juros foram aplicados em valor diferente do contratado — pagaria R$ 49 mil ta vindo R$ 26895  Estou indignado
83,2023-02-24,PR,Sul,Telecomunicações,Sem resposta da empresa,"cancelei o plano e continuam cobrando, ja é a 5a vez q ligo, ng resolve, vc descontam direto do meu cartao e eu nao consigo bloquear."
84,2024-11-02,SC,Sul,Energia Elétrica,Não resolvida,"ta sem luz aqui no bairro a 2 dias, perdi tudo que tinha na geladeira e a CPFL nao da satisfação.  Vou processar a empresa."
85,2024-04-03,DF,Centro-Oeste,Bancos e Cartões,Não resolvida,<p>Pedi cancelamento e nada foi feito.</p><br/><strong>Reembolso pendente</strong>
86,2024-12-30,PB,Nordeste,Comércio Eletrônico,Não resolvida,"Boa noite, comprei um produto na Americanas no dia 21/12/2023 e até agora nunca recebi. O prazo era de 10 dias e já se passaram 25."
87,2023-11-19,PR,Sul,Bancos e Cartões,Resolvida,péssimo banco
88,2024-10-08,MG,Sudeste,Bancos e Cartões,Sem resposta da empresa,Fui ao caixa eletrônico do Inter no dia 17-11-2023 e a máquina engoliu meu cartão sem fornecer recibo. Já procurei a agência e ninguem deu solução.
89,2023-04-22,RS,Sul,Telecomunicações,Não resolvida,A internet caiu há 10 dias e a SKY não dá previsão de retorno. Trabalho de casa e estou sem condições de exercer minhas atividades.
90,2023-12-02,SP,Sudeste,Saneamento,Em análise,"Olá, atendimento da Caesb é péssimo, ninguém resolve nada.  Estou indignado. 💸😩😡"
91,2024-04-06,SP,Sudeste,Telecomunicações,Resolvida,"Boa tarde, eSTOU SEM INTERNET HÁ 90 DIAS E A Tim NÃO MANDA TÉCNICO!!! ISSO É UM ABSURDO!!! TENHO REUNIÕES IMPORTANTES E NINGUÉM RESOLVE.  Atenciosamente. 💸😠😤"
92,2024-06-16,BA,Nordeste,Comércio Eletrônico,Sem resposta da empresa,"Bom dia, comprei um PlayStation 5 na Submarino, paguei R$ 407,71, e o produto chegou diferente do anunciado. Já tentei resolver pela central e fui ignorado.  Atenciosamente."
93,2023-05-07,SP,Sudeste,Comércio Eletrônico,Em análise,PRODUTO CHEGOU QUEBRADO E A Shopee NÃO QUER RESPONSABILIZAR!!!!!!!!!!!! ABSURDO!!!!!!!!!!!!
94,2023-06-28,RS,Sul,Bancos e Cartões,Em análise,"Boa noite, a taxa de juros do cheque especial saltou de 3% para 12% sem aviso prévio. Me sinto enganada como cliente há mais de 12 anos.  Vou processar a empresa."
95,2024-11-15,RS,Sul,Telecomunicações,Resolvida,"Boa noite, contratei o plano de internet de 400 mega da SKY no dia 16/06/2023 e até hoje a velocidade jamais passa de 10 mega. Já fiz três protocolos e ninguém resolve."
96,2023-09-27,SC,Sul,Comércio Eletrônico,Não resolvida,"Pésimo servicio, llamé tres veces y nadie me atendió correctamente."
97,2023-01-16,MG,Sudeste,Bancos e Cartões,Não resolvida,"perdi meu cartao no domingo, liguei na hora pra bloquear, e mesmo assim fizeram compra de R$ 349 no shopping. quero meu dinheiro de volta urgente"
98,2024-08-17,SP,Sudeste,Bancos e Cartões,Em análise,"tava tentando fazer pix e o app ta fora do ar a horas, perdi o prazo de pagamento de boleto e agora vão me cobrar multa, isso é justo??"
99,2024-04-20,SP,Sudeste,Seguros,Em análise,"Boa noite, tenho problemas recorrentes com a Porto Seguro há meses. Já não confio mais."
100,2024-07-26,MG,Sudeste,Bancos e Cartões,Resolvida,"Tomei um empréstimo no Nubank e os juros foram aplicados em valor diferente do contratado — pagaria R$ 203, está vindo R$ 50. Meu CPF é 111.222.333-44 para confirmação."
101,2024-11-15,MG,Sudeste,Comércio Eletrônico,Não resolvida,fraude
102,2024-01-28,DF,Centro-Oeste,Comércio Eletrônico,Não resolvida,"Comprei um smartphone na Magazine Luiza, paguei R$ 31 mil, e o produto chegou diferente do anunciado. Eu já tentei resolver pela central e fui ignorado.  Espero solução urgente. 😭👎"
103,2023-12-28,RJ,Sudeste,Educação,Resolvida,Tenho problemas recorrentes com a Kroton há meses. Já não confio mais.
104,2023-07-09,RS,Sul,Bancos e Cartões,Resolvida,um absurdo
105,2023-10-03,CE,Nordeste,Educação,Não resolvida,"Atendimento da Yduqs é pessimo, ninguem resolve nada."
106,2023-05-12,SP,Sudeste,Telecomunicações,Resolvida,"Boa tarde, a internet caiu há 10 dias e a Vivo não dá previsão de retorno. Trabalho de casa e estou sem condições de exercer minhas atividades."
107,2023-06-21,RO,Norte,Telecomunicações,Resolvida,"Meu plano de telefonia da Claro parou de funcionar após uma atualização do sistema, e há 45 dias não consigo fazer ligações."
108,2024-08-03,PR,Sul,Telecomunicações,Em análise,"to com problema com a SKY a 2 messes ja, internet ruim e ngm resolve, ja paguei tudo direitinho mas o servico continua pessimo. ja perdi a paciencia"
109,2023-02-22,MG,Sudeste,Energia Elétrica,Não resolvida,ESTOU SEM LUZ HÁ 3 DIAS!!!!!!!!!!!! TEMOS IDOSOS EM CASA QUE PRECISAM DE EQUIPAMENTOS LIGADOS!!!!!!!!!!!! É UMA QUESTÃO DE SAÚDE!!!!!!!!!!!!
110,2024-05-18,PB,Nordeste,Comércio Eletrônico,Não resolvida,
111,2024-08-11,SC,Sul,Bancos e Cartões,Resolvida,Bom dia tive uma compra não reconhecida no valor de R$ 7846 contestada há 45 dias e o Itaú não retornou com nenhuma resposta
112,2024-09-15,PE,Nordeste,Comércio Eletrônico,Resolvida,"Eu comprei um PlayStation 5 na Kabum, paguei R$ 4.223,30, e o produto chegou diferente do anunciado. Eu já tentei resolver pela central e fui ignorado."
113,2024-01-17,SP,Sudeste,Telecomunicações,Em análise,Contratei portabilidade da Claro para a SKY e fiquei 60 dias sem linha funcionando. Perdi negócios importantes nesse período.
114,2024-10-20,MS,Centro-Oeste,Telecomunicações,Não resolvida,
115,2023-11-28,RJ,Sudeste,Saúde — Planos,Resolvida,REAJUSTE DE 28% NO MEU PLANO Sulamérica!!! ISSO É ABUSIVO!!!
116,2023-02-04,SP,Sudeste,Comércio Eletrônico,Não resolvida,"Boa noite, recebi o produto errado da Amazon: pedi um notebook e veio um carregador. Pedi a troca há duas semanas e ninguém retorna."
117,2024-04-17,SP,Sudeste,Bancos e Cartões,Em análise,"fizeram cobrança indevida no meu cartão, valor R$ 48 mil, ja contestei 4 vezes e nada do banco Santander responder, parece que tao querendo q eu desista"
118,2024-10-13,DF,Centro-Oeste,Saúde — Planos,Não resolvida,"Prezados, o Amil cancelou meu plano alegando inadimplência, mas tenho todos os comprovantes de pagamento em dia.  Não recomendo a empresa."
119,2024-07-25,SP,Sudeste,Seguros,Não resolvida,"Boa tarde, atendimento da Bradesco Seguros é péssimo, ninguém resolve nada.  Aguardo retorno."
120,2023-05-20,MG,Sudeste,Comércio Eletrônico,Não resolvida,
121,2023-02-05,RJ,Sudeste,Saúde — Planos,Em análise,"plano negou meu exame de novo, ja é a 5a vez esse ano, isso é cobertura ou que? pago certinho todo mes"
122,2024-06-25,MA,Nordeste,Energia Elétrica,Resolvida,ESTOU SEM LUZ HÁ 3 DIAS!!! TEMOS IDOSOS EM CASA QUE PRECISAM DE EQUIPAMENTOS LIGADOS!!! É UMA QUESTÃO DE SAÚDE!!! Meu CPF é 111.222.333-44 para confirmação.
123,2024-10-28,BA,Nordeste,Educação,Em análise,"Bom dia, tenho problemas recorrentes com a Anhanguera há meses. Já não confio mais."
124,2023-02-12,SE,Nordeste,Energia Elétrica,Em análise,absurdo
125,2023-07-03,AC,Norte,Bancos e Cartões,Em análise,"sou cliente do Bradesco ha 18 bastante tempo e me trataram super mal hoje na agencia, ninguem se importa em resolver os problemas 🤬"
126,2024-10-03,ES,Sudeste,Telecomunicações,Em análise,"Solicitei o cancelamento do plano em 08-08-2023 e continuei sendo cobrado. Eu já enviei e-mail, liguei na central e nada foi feito."
127,2023-08-23,SP,Sudeste,Bancos e Cartões,Sem resposta da empresa,"ROUBARAM MEU CARTÃO E O Santander NÃO QUER ESTORNAR!!! 2 COMPRAS QUE EU NÃO FIZ NO TOTAL DE R$ 6.934,68!!! ABSURDO!!!"
128,2023-03-09,SP,Sudeste,Bancos e Cartões,Resolvida,"tava tentando fazer pix e o app ta fora do ar a horas, perdi o prazo de pagamento de boleto e agora vão me cobrar multa, isso é justo??"
129,2023-05-06,SP,Sudeste,Transporte Aéreo,Resolvida,"voo atrasou 8 horas, perdi conexao, a Azul nao deu nem agua direito, isso é desrespeito com o consumidor."
130,2024-03-07,AC,Norte,Energia Elétrica,Resolvida,"ta sem luz aqui no bairro a 2 dias, perdi tudo que tinha na geladeira e a Celpe nao da satisfação.  Atenciosamente."
131,2024-08-16,MG,Sudeste,Comércio Eletrônico,Em análise,Comprei um produto na Magazine Luiza no dia 16 de maio e até agora jamais recebi. O prazo era de 10 dias e já se passaram 25.  Vou registrar no Procon.
132,2024-02-25,SP,Sudeste,Imobiliário,Resolvida,"Boa tarde, tenho problemas recorrentes com a Tenda há meses. Já não confio mais."
133,2023-03-13,SP,Sudeste,Saúde — Planos,Em análise,<p>Pedi cancelamento e nada foi feito.</p><br/><strong>Reembolso pendente</strong>
134,2024-10-31,SP,Sudeste,Telecomunicações,Resolvida,"SUPER SUPER INDIGNADA COM A Net!!!!!!!! COBRANÇA INDEVIDA HÁ MESES E O ATENDIMENTO É PÉSSIMO... QUERO O ESTORNO IMEDIATO DOS R$ 102,52 COBRADOS!!!!!!!!!!!!"
135,2023-01-23,PA,Norte,Bancos e Cartões,Resolvida,"O aplicativo do Banco do Brasil fica fora do ar há 30 dias, o que me impede de fazer pagamentos no prazo e gera multas e juros desnecessários."
136,2024-08-28,BA,Nordeste,Energia Elétrica,Não resolvida,"Solicitei o estorno do valor R$ 3.485,96

Veja detalhes em https://www.consumidor.gov.br/protocolo/12345

Aguardo retorno."
137,2023-04-05,BA,Nordeste,Bancos e Cartões,Resolvida,A taxa de juros do cheque especial saltou de 4% para 20% sem aviso prévio. Me sinto enganada como cliente há mais de 8 anos.
138,2023-07-26,SP,Sudeste,Comércio Eletrônico,Sem resposta da empresa,"comprei pra presentear, chegou ATRASADO E QUEBRADO, ja fiz protocolo umas 5 vezes na Mercado Livre.  Estou indignado."
139,2024-11-09,RJ,Sudeste,Seguros,Resolvida,Tenho problemas recorrentes com a Porto Seguro há meses. Eu já jamais confio mais.  Espero solução urgente.
140,2023-01-24,DF,Centro-Oeste,Comércio Eletrônico,Sem resposta da empresa,"Boa tarde, recebi o produto errado da Kabum: pedi um notebook e veio um carregador. Solicitei a troca há duas uns dias e ninguém retorna."
141,2023-09-11,PR,Sul,Energia Elétrica,Não resolvida,"Solicitei religação após pagamento da fatura no dia 26/04/2023 e até hoje, 5 dias depois, sigo sem energia. 😡👎😩 Por favor entrem em contato no e-mail maria.silva@gmail.com."
142,2024-06-27,AC,Norte,Telecomunicações,Não resolvida,"Liguei pra Claro pra pedir suporte tecnico e ninguem entende oq eu falo, parece q tao lendo um script, ja perdi a tarde inteira.  Quero cancelar tudo agora."
143,2023-05-26,SP,Sudeste,Telecomunicações,Em análise,"to com problema com a Claro a 5 messes ja, internet ruim e ngm resolve, ja paguei tudo direitinho mas o servico continua pessimo. ja perdi a paciencia"
144,2023-11-25,SP,Sudeste,Telecomunicações,Não resolvida,"Liguei pra Vivo pra pedir suporte tecnico e ninguem entende oq eu falo, parece q tao lendo um script, ja perdi a tarde inteira"
145,2023-08-02,SE,Nordeste,Telecomunicações,Não resolvida,"to com problema com a Vivo a 8 messes ja, internet ruim e ngm resolve, ja paguei tudo direitinho mas o servico continua pessimo. ja perdi a paciencia"
146,2023-09-03,RJ,Sudeste,Comércio Eletrônico,Não resolvida,PRODUTO CHEGOU QUEBRADO E A Kabum NÃO QUER RESPONSABILIZAR!!! ABSURDO!!!
147,2023-11-29,MG,Sudeste,Comércio Eletrônico,Não resolvida,"Comprei um notebook na Kabum, paguei R$ 46,89, e o produto chegou diferente do anunciado. Já tentei resolver pela central e fui ignorado."
148,2023-10-01,SP,Sudeste,Telecomunicações,Resolvida,"cancelei o plano e continuam cobrando, ja é a 2a vez q ligo, ng resolve, vc descontam direto do meu cartao e eu nao consigo bloquear.  Aguardo retorno."
149,2024-03-28,PR,Sul,Bancos e Cartões,Resolvida,"fizeram cobrança indevida no meu cartão, valor R$ 35 mil, ja contestei 2 vezes e nada do banco Banco do Brasil responder, parece que tao querendo q eu desista"
150,2023-02-28,SP,Sudeste,Educação,Resolvida,Tenho problemas recorrentes com a Anhanguera há meses. Já não confio mais. 💸
151,2024-11-21,PR,Sul,Telecomunicações,Sem resposta da empresa,"Boa tarde, liguei pra Oi pra pedir suporte tecnico e ninguem entende oq eu falo, parece q tao lendo um script, ja perdi a tarde inteira 💸😡😭"
152,2023-05-06,RJ,Sudeste,Comércio Eletrônico,Em análise,"Cancelei o pedido por falta de prazo de entrega e até hoje, 40 dias depois, não recebi o estorno de R$ 77,56.  Não recomendo a empresa."
153,2023-12-27,PR,Sul,Comércio Eletrônico,Não resolvida,"Olá, recebi o produto errado da Mercado Livre: pedi um notebook e veio um carregador. Requisitei a troca há duas semanas e ninguém retorna."
154,2023-01-31,RN,Nordeste,Telecomunicações,Não resolvida,"Já estou sendo cobrado por um serviço de assinatura que nunca contratei. O valor de R$ 1.594,63 aparece na minha fatura há 3 meses."
155,2023-05-07,SP,Sudeste,Bancos e Cartões,Resolvida,"Prezados, rOUBARAM MEU CARTÃO E O Santander NÃO QUER ESTORNAR!!!!!!!!!!!! 4 COMPRAS QUE EU NÃO FIZ NO TOTAL DE R$ 544,22!!!!!!!!!!!! ABSURDO!!!!!!!!!!!!"
156,2024-04-20,SP,Sudeste,Comércio Eletrônico,Não resolvida,"produto nao chegou no prazo, ja faz 1 mes do prazo de entrega, queria muito esse smartphone pro aniversario do meu filho.  Atenciosamente."
